"","vtitle","vpoint","vreview"
"818","살인청부업자","9","우리 미래가 이렇게 암울하진 않겠죠?"
"819","리멤버","10","정지해두고 캡쳐하면 일러스트… 애니메이션 좋아하면 꼭 보길"
"820","낮에는 덥고 밤에는 춥고","8","잉, 이거 중국에서 봤던 영화인데... 중국영화를 보는데 한국영화 느낌이 나서 이상했는데 보다보니 블라인드랑 내용이 비슷... 리메이크인줄 알았는데 감독이 똑같았었네!!!"
"821","시카리오: 데이 오브 솔다도","8","중국 본토 곳곳에 아메리카타운 코리아타운이 생긴다면 좋아할까??"
"822","공조2: 인터내셔날","10","사람들 도대체 뭘바라는거지?  엄청재밌는데?"
"823","옆집사람","8","우리 모두 V 입니다"
"824","인생은 아름다워","10","평점 낮다고 해서 반신반의로 보았는데 복지 사각지대를 이야기 해주는 거 같았어요 그리고 배우 분들 연기 너무 좋았어요. 백현진 분 늘 악한 역할 나오셔서 의심 했지만 아니어서 너무 다행;;; 한 번쯤은 볼 만한 영화 인거 같아요."
"825","에브리씽 에브리웨어 올 앳 원스","7","어디에 있던지 그래도 사랑하니까"
"826","자백","10","역시 재미가 아주 많이있음"
"827","20세기 소녀","6","역대 시리즈 중 최악인듯 스토리 연출 개연성 엉망 연기 잘하는 배우들 다 모아놓고 뭐하는짓"
"828","살인청부업자","10","와우 넘잼잇음 배우들 존잘"
"829","리멤버","8","솔직히 배우들의 연기가 그냥 다 살린 작품같습니다. 보면서 재미없다고 느낀 부분은 없었지만.. 다 보고 생각해보니 러닝타임이 꽤 긴 것 치고는 서사 풀이가 덜된 것 같아요. 복수의 방법도 좀 아쉽고..마지막에 한필주에게 죽음을 선택하지 않고 감옥에 가는 것으로 죗값을 치른다(?) 이미 지병으로 죽음을 거의 앞둔 노인에게 감옥살이가 무슨 단죄의 의미가 있을까 싶기도 해요. 결국 한필주가 죽음을 택하지 않은게 죗갚을 치르는 거라면 앞에 복수를 위해 죽인 사람들도.. 그냥 편하게 가게 한것과 마찬가지겠죠..(그것만이 방법은 아니겠지만) 마지막 김치덕 장군 손녀를 위협한 것 같은 뭔가 동일한 고통을 주는 식으로 처단하는 게 오히려 개연성이 있지않나 싶네요. 무튼 이성민 배우의 아픈 노인 연기가 정말 실감나고.. 초반 남주혁 배우의 짜증날정도의 눈치없음(?).. 그리고 친일파를 연기하신 배우님들.. 정말 어디선가 그렇게 말하고 주장하고 있을 것 같아요.  중간에 윤제문님 앞에 무릎꿇었을때 남주혁님이 살려만 달라고 했다가 기지를 발휘하는 부분도 많은 생각을 하게 만드는 영화였습니다."
"830","낮에는 덥고 밤에는 춥고","10","오랜만에 꽤 괜찮은 공포 영화 봤네 몰입감 + 긴장감 + 반전 다 잡았음.. 공포 영화 매니아라면 추천합니다!"
"831","시카리오: 데이 오브 솔다도","8","괜찮은데? 왜케 평점 낮은 지 모르겠네요"
"832","공조2: 인터내셔날","9","탐욕과 내전으로 인한 시에라리온의 참상을 현실감있게 전달하면서도 제대로 스토리를 입혀 두마리 토끼를 다 잡아냈다 평점 8.6"
"833","옆집사람","10","아 감성을 이렇게까지 자극 할 수 있다고?"
"834","인생은 아름다워","10",""
"835","에브리씽 에브리웨어 올 앳 원스","10","볼때마다 가슴이 너무 아리지만 최고의 영화"
"836","자백","10","처음에는 엄청 무서운 공포 스릴러 영화인줄 알고 고민 끝에 용기를 내서 보게 되었고 보는 도중에도 무서워서 그만 둘까 싶었지만 알고 보니까 내 기준에서는 공포 영화가 아니었다. 보면서 예상보다 무섭지는 않았는데 슬퍼서 펑펑 울면서 봤다. 끝까지 보기를 잘 했다는 결론이 나게 해준 작품들 중 하나."
"837","20세기 소녀","7","이해할 수 없는 것이 결국 사랑.."
"838","살인청부업자","8","콧대 높은 결핍을 마주하는 입체적인 내러티브"
"839","리멤버","10",""
"840","낮에는 덥고 밤에는 춥고","10","반전의 반전의 반전 입미다"
"841","시카리오: 데이 오브 솔다도","3","이뤄지지 못한 첫사랑과 복고의 뻔한 조합, 하이틴멜로 클리셰의 향연, 우연성에 지나치게 의존하는 서사, 시대만큼이나 낡고 진부한 대사, 틀에 박힌 캐릭터와 갈등구조, 자꾸만 감성을 자극하려는 반복되는 얕은 수에 오히려 피로하게 만드는 연출. 공중파 멜로드라마와 비교해도 나은 점을 찾기 힘든 졸작."
"842","공조2: 인터내셔날","2","제2의 7광구 느낌이..ㅋㅋ아니..무슨 연출을 이렇게 하지? 베테랑 경찰이란 애들이 총을 못쏴 ㅋㅋ"
"843","옆집사람","10",""
"844","인생은 아름다워","7","동화에 현실을 살짝 버무려"
"845","에브리씽 에브리웨어 올 앳 원스","6","액션도 길면 지루 할수있구나 하고 깨달았다 흥미있는 부분은 처음 몇분하고 쿠키영상이 다였다!"
"846","자백","7","육신은 사라져도 신념은 이어진다"
"847","20세기 소녀","6","영화보고 우울증이 생겼어요ㅠㅜㅜ 이정도면 평점 6.5정도 되는것같다 하고 보다가 후반에 이건 평점2점이야 !!!!우울하네요.."
"848","살인청부업자","10","이태석 신부님을 따르려는 남수단 제자들의 이야기. 또 한 번 감동을 주는 영화."
"849","리멤버","10","발리우드 액션의 승리, 최고의 영화"
"850","낮에는 덥고 밤에는 춥고","10","오랜만에 공포영화 명작 나왔네요.감독 머릿속이 궁금할 정도입니다.저금은 사일런트힐을 생각나게 하는 장면도 있더군요.공포영화는 워낙 호불호가 갈려서 높은 평점 받기 어려운데 공포 좋아하시면 믿고 보셔도 좋습니다.추천합니다.연기, 연출, 스토리 모두 10점입니다."
"851","시카리오: 데이 오브 솔다도","2","놀랬다...뭔 영화일까"
"852","공조2: 인터내셔날","8","재미있었습니다, 배우분들 아역까지도 찰떡 캐스팅에 연기가 좋습니다일본 감성이 느껴졌습니다"
"853","옆집사람","6","2022 .11.02 개봉"
"854","인생은 아름다워","10","이성민 연기도 잘하고 남주혁도 연기가 늘었네요 내용도 좋았고 속이 시원합니다"
"855","에브리씽 에브리웨어 올 앳 원스","10","헐 대박 별 기대 안하고 보러 갔다가, 후반부로 갈 수록 몰입도 최고입니다!!!"
"856","자백","10","내 인생 감히 최고의 영화..! 평범한 삶을 살아가다가 ..  옛날을 회상하고 꿈 꿀 수 있게 되는.. 짜릿한 장면들!  명작"
"857","20세기 소녀","10","연출부터 ost까지 뭐하나 감상포인트로 추천 안 할 수가 없네요.잊고 지낸 풋풋했던 시절의 감성을 되살려주는 영화였어요. 보는 내내 심장이 몽글몽글해지기도 하고 저려오기도... 유정님은 유정했고, 우석님은  새로운 발견이었어요. 남자도 저렇게 애처롭게 울 수 있다니... 보는 사람마저 맴찢!!! ㅠㅠ 원하던 결말이 아니어서 매우 아쉬웠지만 그래서 더 애절했던 것 같아요. 전하지 못한 편지... 기차역... 해돋이... 무한반복시청 중입니다. 이 여운이 언제쯤 가실런지요. * ost 발매 좀 부탁드려요...토이의 ""거짓말 같은 시간""  도 함께요~~ 멜론에서 찾아 들었는데 가사가 주인공들이 하는 말 같아서 더 슬펐다는 ㅠㅠ"
"858","살인청부업자","6","잔잔하고 가슴이 따뜻해지는 영화.."
"859","리멤버","1","싸우는건 좋은데 궁금증은 해결좀 해주면 안되나~? 누구랑 싸우는지 왜 싸우는지도 모르고 게다가 남주는 버려지고 총맞는데도 끝까지 살아나고 끝까지 믿어주네~ㅋㅋㅋ 어처구니가 없네~"
"860","낮에는 덥고 밤에는 춥고","7","이 작품의 가치가 낮은 이유는 마지막 지미아내의 언행임. 역대급 무리수."
"861","시카리오: 데이 오브 솔다도","10","너무조아용 ㅜㅜㅜ진짜감동많아요.."
"862","공조2: 인터내셔날","8","배우 연기는 인상적인데 계속적으로 피칠갑을 보자니 힘듦"
"863","옆집사람","7","오리엔트 특급 테이큰"
"864","인생은 아름다워","2","요트 위에 바보들"
"865","에브리씽 에브리웨어 올 앳 원스","10","B급 영화 처음이었는데 이 영화가 앞으로 볼 B급 영화를 모두 미만잡으로 만들 것 같다.처음엔 세계관이 너무 커서 정신이 없었는데 세계관이 내가 살면서 선택한 것 중 포기한 길로 갔을 때의 내 모습들과 연결된다는 점이 너무 독창적이었고 작게 보면 정말 어이털리는 영화겠지만 뒤로 갈수록 점점 빨려들고 그 많은 복선을 싹 다 깔끔하게 (이해 안 되던 제목까지) 회수해가는 걸 보고 정말 이 영화를 쓴 작가는 도대체 어디서부터 떠올려야 이런 스토리를 만들 수 있었을까에 대한 생각까지 해 보게 되었다. 오마주는 또 왜 이렇게 잘 한건지 모르겠다 이게 바로 B급 영화의 특징이겠지 앞으로 B급 영화도 많이 찾아봐야겠다 별점 10점만 있는거 개아까움 100개 있었으면 100개 주고싶다"
"866","자백","6","김민재배우 이거 찍는다고 고생많이했네요 멋있었어요!"
"867","20세기 소녀","2","감독이 선지국을 좋아하나봄피가 너무 과하게 쏟아짐영상미 0점"
"868","살인청부업자","4","미안하지만 좀 아닌듯.."
"869","리멤버","10","과거가 제대로 청산되지 않은 아쉬움에서 영화가 탄생하지 않았나 싶어요. 이성민배우 연기도 인상적이여서 몰입도가 매우 높았네요"
"870","낮에는 덥고 밤에는 춥고","2","흠....진짜 추석때 kbs에서 편성해줄때까지 기다려주세요..제발..볼거없다고 결제하지마세요.."
"871","시카리오: 데이 오브 솔다도","2","아무생각없이 봐도 재미없음"
"872","공조2: 인터내셔날","8","이게 뭐라고 긴장감이.. 때때로 웃기기까지 함.암튼 남자는 예쁜 여자를 조심해야..."
"873","옆집사람","5","다소 지나친 개연성과 다소 지나치게 예쁜 나나"
"874","인생은 아름다워","9","습지에서 터득한 스스로 살아남는 법"
"875","에브리씽 에브리웨어 올 앳 원스","10","2022 가을 이 영화 안 보신분 꼭 보세요"
"876","자백","5","배우들 연기 졸라못함 --; 나중엔 웃김 ㅋㅋㅋ"
"877","20세기 소녀","9","저런 친구들 있는 주인공 부럽네..전쟁의 비극을 이용해 지지율 얻는 정치인들 과고익관료 들.."
"878","살인청부업자","10","나이 들고 보니 눈물이 난다 난 애도 없는데, 내가 아껴주고 사랑하며 엄마한테 버리지 말라고 애원하던 내 인형들이 아직도 생각나 그리고 테디가 너무 귀여워 슬픔.. 초등학생 때 과천 어느 상가에서 사달라고 졸랐던 테디와 똑같던 나의 곰인형도 보고싶다... 유달리 인형에 많은 마음을 쏟았던 나"
"879","리멤버","10","공감도 되고 너무 감동적이였어요"
"880","낮에는 덥고 밤에는 춥고","2","충분히 예상가능한 반전마무리는 황당쓰리멤버볼걸 ㅎㅎㅎ"
"881","시카리오: 데이 오브 솔다도","4","해리포터 같은 영화를 안 좋아해서 그런지.재미가 없다.선학교 애들이 겁니 악하네. 뭐가 선이고 악인지도 모르겠고. 내용도 두서 없고."
"882","공조2: 인터내셔날","9","좀 지루한 부분도 있지만 자기만의 이야기를 써내려가는 점이 인상적. 그 끝이 죽음이라도 받아들이는 것."
"883","옆집사람","10","마지막 반전 장면과 마지막 기억을 잃은 할아버지가 너무 슬펐음"
"884","인생은 아름다워","10","아직도 기억에 남는 영화"
"885","에브리씽 에브리웨어 올 앳 원스","10","근 3년동안 극한직업이랑 내안의 그놈만한 코믹영화가 없음.. 2022년도 요즘 나오는 영화 보다가 현타왔다."
"886","자백","10","예상가능한 반전을 끌고가는 것도 능력"
"887","20세기 소녀","10",""
"888","살인청부업자","10","이런영화 오랫만이네요~"
"889","리멤버","6","연기는 좋았지만...영화는 글쎄..."
"890","낮에는 덥고 밤에는 춥고","1","의도가 무엇인가ㅠ피칠갑"
"891","시카리오: 데이 오브 솔다도","10","어엿한 사회인이 되서 씩씩하게 이 세상을 살아가는 5명을 보고 나데시코네한테 자랑해도 될만큼 제 인생을 열심히 살고 싶다는 생각이 절실히 들었습니다. 이렇게 훌륭한 애니를 만들어주신 분들께 최대한의 축복을"
"892","공조2: 인터내셔날","10","재미있게 잘 보았습니다"
"893","옆집사람","10","긴장감있는 연출, 그러나 부담스럽지 않은 연출이좋았어요 이성민의 수준급연기,열심히 한 주혁이 때문에 재밌게 봤어요"
"894","인생은 아름다워","8","극장 문을 나선 후부터 서서히 슬픔이 파고든다. 물에 잉크가 퍼지듯..."
"895","에브리씽 에브리웨어 올 앳 원스","1","와 진짜 최악이다 차라리 공포물로 만들던가 고어물이라고 하던가 죽고즉고 죽이고 끝 ㄹㅇ 시간버렸네 ㅋㅋ 일본침몰급 ㅋㅋ"
"896","자백","10","최애 두 배우의 만남 만으로 기대작이었고....두 배우의 잔잔한 감정선이 너무 좋음."
"897","20세기 소녀","10","영화가 예뻐요 감동적이고 먹먹해요"
"898","살인청부업자","7","영화 자체로만 본다면 킬링타임용으로 충분합니다. 하지만 영화와는 별개로 저는 이성민님을 한 인간으로서 한 배우로서 존경하기에 어떠한작품을 찍으시든 볼 것 같습니다. 주혁님은 이미 충분히 대한민국에서 내로라하는 외모를 가지셨는데도 멋을 더 내기위해 노력 하시는 것 같습니다. 다른 작품에서는 날 것 같은 연기로 뵀으면 합니다."
"899","리멤버","7","간만에 워킹타이틀표 로맨틱 코미디를 봐서 좋았다. 내용은 생각했던 것 보다 잔잔하고 다소 늘어지기도 해서 조금 아쉬웠지만 말이다."
"900","낮에는 덥고 밤에는 춥고","10","사람들이 너무 짜다. 내 평점은 8.5. 어머니의 사랑이 주제라는 것만으로 이미 8점 넘어갔어. 부활이라는 것만 빼면 스토리도 개연성있고. 볼만합니다  평점이 낮아도 볼만해요. 시간 안 아까워요"
"901","시카리오: 데이 오브 솔다도","9","감동ㅜㅜ디즈니 플러스로 집에서 엄마랑 봤어요ㅜㅜ재밌고 귀엽고 교훈도 있네요~"
"902","공조2: 인터내셔날","1","내가 살면서 처음 본 주인공이 없는 영화...그 좋은 배우진 데려다가 그냥 스토리 개연성 무시하고영화 전체분량을 1/N 로 나눠서 배정한 느낌...스토리 엉망, 영화 전개 개판, 영상미 전혀..."
"903","옆집사람","8","공간 전체를 밤이었다고 가정하니 더욱 서늘 하다"
"904","인생은 아름다워","10","일단 엄마연기가 ㅎㄷㄷ"
"905","에브리씽 에브리웨어 올 앳 원스","5","영화제 수상을 했고 평론가들의 평점도 매우 높아 기대를 조금 했는데 영화는 실망스러웠습니다. 30분정도의 조금 긴 단편영화에 적합한 이야기인데 1시간 33분의 장편영화로 만들기엔 무리였던 것 같네요. 주인공이 처한 난처하고 위급한 상황에서의 대처도 조금 억지스러웠습니다."
"906","자백","10","전 너무재밌던데과거와 현재가 오라가락처음에 이해가안되어 머지?했는데후반부에 풀리네요안헛갈리게  스토리가이어졌으면보기 편했을듯^^2부기대되요"
"907","20세기 소녀","8","개인적인 감상평 (스포있음)         1. 광고에는 서인국밖에 안 나오는데 정작 서인국은 50분에 죽음       쉽게 말하면 베라에서 엄마는 외계인 홍보를 오지게 해서 사 먹으러 갔는데 엄마는 외계인은 한 통이 끝이고 나머지 전부는 민트 초고밖에 없어서 좋든 싫든 들어간 사람들이 강제로 민트 초코만 사 먹어야 한다면 당연지사 화가 나고 불만이 생기기 마련          2. 범죄자와 경찰의 대립구도는 힘의 균형이 맞기 때문에 긴장감이 조성된다            말 그대로 후반에 나오는 알파 때문에 재미가 없다고 느껴지는 제일 큰 문제점이라고 생각하는 게 '범죄자들의 교묘한 속임수와 잔인성 그에 대응하는 경찰' 이런 내용을 기대하고 보통 영화를 시작했지만 잘 흘러가다 뜬금없는 무적의 살인귀 알파의 등장으로 몰입이 방해될 정도의 연출된 고어씬 및 인물들의 소모품화 ( 정작 저 연기 잘하는 배우들이 아무것도 한 게 없고 보여준 것 없이 다 죽어나감 ) 되면서 각 캐릭터들의 소개 및 과거 사연 등 아무것도 없이 그냥 시체 죽어 나갈 때마다 "" 아니 얘가 죽어?"" "" 아니 얜 안 죽겠지..."" "" 아니 이럴 거면 왜 이 배우들을 쓴 거야?"" 등 탄식과 의문이 많이 남음        3. 내용의 급 전개        이 영화를 보면서 제일 적응 안 되던 거는 사람이 토마토 케첩처럼 쥐어짜이는 것보다 대체 뭘 말하고 싶은지 알겠고 뭘 보여주고 싶은지는 알겠는데 이걸 꼭 이렇게 연출해서 영화로 보여줬어야 했나?라는 생각이 든다        4. 개인적인 의견        차라리 범죄조직 vs 경찰 서로 죽이고 죽이는 싸움을 하다 마지막에 피 냄새를 맡고 깨어나는 알파를 보여주고 2편을 시작했으면 더 좋지 않았을까? 범죄자들 사이에서 복수를 꿈꾸는 남자의 이야기를 경찰과 대립 중에 살육전을 하면서 특별한 신체능력을 보여주고 그다음 개조 인간 떡밥을 조금씩 풀어주는 게 더 관객들이 기대를 하지 않았을까 생각하며 글을 마"
"908","살인청부업자","1","테츠야 감독 영화 좋아하는데 불편한 감이 없어서 아쉬었고 혐오스런 마츠코보고 기대하는 마음으로 봤는데 실망임"
"909","리멤버","7","현실에 지친 어른들을 위한 한편의 동화 같은 이야기"
"910","낮에는 덥고 밤에는 춥고","10","가슴이 아프네요. 다이애나... 힘들게 간 그녀의 삶이 먹먹합니다."
"911","시카리오: 데이 오브 솔다도","7","홀로 살아가야 했던 습지 소녀를 품어준 자연의 아름다움"
"912","공조2: 인터내셔날","1","서울 대작전보단 낮지만이딴게 넷플1위?"
"913","옆집사람","10","생각보다 잼났음 1,2부 나눠줘서 아쉽 ㅜㅜ 기다려지기 보다는 앜 이렇게 끝나? 요런느낌의 엔딩"
"914","인생은 아름다워","10","잘 봤습니다 외계+인 2부 기다리겠습니다"
"915","에브리씽 에브리웨어 올 앳 원스","10","이건 지금 봐도 진짜 잼있음"
"916","자백","10","연기와 대사의 어눌함은1986년 당시를 생각하면 다 용서된다.. 홍콩느와르의 시작은 전설의 제작자와 감독과 배우들 조합이 완성했다"
"917","20세기 소녀","10","평점에 속아서 못볼뻔했습니다. 영화관에서 봤어야 했는데 너무 재밌어요! 빨리 3편도 보고싶어요"
"918","살인청부업자","1","역시 반일영화 개망했네 ㅋㅋㅋ이런 걸 누가 보겠음 ㅋㅋ"
"919","리멤버","10",""
"920","낮에는 덥고 밤에는 춥고","10","흘러가는 결말이지만 위험에 노출된 청소년들의 현실을 최소한의 대사와 풍부한 연기와 연출로 보여준다."
"921","시카리오: 데이 오브 솔다도","9","대니 좀 가만 나두면 안대니?"
"922","공조2: 인터내셔날","1","너무 억지스럽게 유명 해외 영화들 장면 똑같이 연출하려함. 공성전하는데 턴제 알피지 보는 것 같았어요. 역사왜곡까진 그냥 판타지라 생각하고 볼 수 있겠고 한두개만 다른 영화 장면 쓴거면 오마주라 할 수 있겠음. 근데 그냥 유명한 장면들 짬뽕하려했다가 꽁치버거된 느낌...영화 좋아하시는 분들이면 보는 내내 다른 영화가 떠오를 수도 있어요. 덕분에 명작 영화들 다시 한 번 보면서 감탄하게 만들어준 영화"
"923","옆집사람","10",""
"924","인생은 아름다워","10","그냥 보고 오세요 진짜 다른 말은 필요없어요"
"925","에브리씽 에브리웨어 올 앳 원스","10","고레에다와는 확실히 다른 차이점이 있습니다, 비교하지 마세요.많은 생각을 담은 게 느껴집니다, 장면마다 공들인 것이 보여 감동적입니다. 가족,가장이라는 존재에 대해서도 많은 생각을 하게 해줍니다.영화를 보고 난 뒤 여러가지 질문이 떠오르는 것 자체가 좋은 작품이라 생각합니다.편안하게 읽히지만 다 보고 나서는 마음 한켠이 먹먹해지며 불편해지는 책처럼 잘 보았습니다."
"926","자백","2","교장이  박보영한테 꽃차 줄때부터 양귀비인거 알아보고 어떤 내용일지 예상한데로 다 흘러감.공포가 아니라 사류 스릴러."
"927","20세기 소녀","10","더불어 산다는 것에 대해 질문을 던지는 영화.함께 걸어 갑시다 !!"
"928","살인청부업자","10","Good    스토리가  지루하지 않았어요"
"929","리멤버","10","마음이 힘든사람들에게 위로가 되고가슴이 뭉클하면서도 따뜻한 내용이네요"
"930","낮에는 덥고 밤에는 춥고","1","팬질은 다른데서 하세요"
"931","시카리오: 데이 오브 솔다도","9","참신하고 좋기만 하구만!!"
"932","공조2: 인터내셔날","8","은근재밌는데ㅋㅋ평점3점대는 오바지"
"933","옆집사람","4","결말이제일별로인영화"
"934","인생은 아름다워","8","좋았어요~ 추천합니다"
"935","에브리씽 에브리웨어 올 앳 원스","8","영화 잘 봤습니다~ㅎㅎ"
"936","자백","2","평점 믿지마라 졷노잼 ㅋㅋ"
"937","20세기 소녀","8","소설속 종수, 버닝하다."
"938","살인청부업자","7","잔잔하고 잔잔하지만 미묘한 감정들"
"939","리멤버","2","간호사 OO때 통쾌 근대 이런 초딩 5학년 몸매케이들 너무 많음 해동도 똑같음ㅋㅋㅋ 연기갑!"
"940","낮에는 덥고 밤에는 춥고","10","전 진짜 재밌게 봤어요~~ 시간이 어떻게 가는 줄 모르고 봤는데..평점이 너무 낮네요.. ㅠㅠ취향에 따라 호불호가 갈릴 것 같긴해요~~"
"941","시카리오: 데이 오브 솔다도","9",""
"942","공조2: 인터내셔날","1",""
"943","옆집사람","10",""
"944","인생은 아름다워","5","내 마음 반, 그리고 알지못하는 너의 마음의 반."
"945","에브리씽 에브리웨어 올 앳 원스","7",""
"946","자백","9","책을읽고 늘 카야가 살아있는듯 한번씩 마음이 아렸는데 영화로 카야를 만나게되다니 설레기까지했어요 소설의 구성을 흩트리지않아 책읽듯 자연스레 감상했네요  오랜만에 영화한편에 촉촉한 감성으로가을 한나절 보냅니다~~!"
"947","20세기 소녀","2","예고만봐도…재미없어보이던데ㅋ보러간사람도 계셨군요…ㅋ"
"948","살인청부업자","10","공모전 소재를 찾던 중 자신을 괴롭히던 층간 소음에 의문을 품으며 윗집 주인을 관찰하기 시작한다. 그리고 윗집 남자 ‘호경’ 박진우 또한 ‘은수’의 존재를 눈치채기 할 수록 재미있어지는 스토리입니다"
"949","리멤버","10",""
"950","낮에는 덥고 밤에는 춥고","1","이렇게 답답한 영화는 살면서 처음 봄"
"951","시카리오: 데이 오브 솔다도","3","이걸 영화라고...."
"952","공조2: 인터내셔날","10","아니 재미없대매... 개재밌구만ㅠ 에스에프와 한국의 도술작 요소를 섞은 것도, 여러 차원의 시공간이 섞인 것도 너무 비범하고 특별한데요...ㅜ아 짜증나 내 2부 내놔"
"953","옆집사람","7","신부님 같은 사람이 아이들을 생각하는 진짜 어른이 아닐까요"
"954","인생은 아름다워","10","7광구의 필이 단지 괴물에서 오렌지 죄수복의 이상한 넘이 나올뿐"
"955","에브리씽 에브리웨어 올 앳 원스","1","!!!!스포주의!!!!흉악범들이 수갑풀고 UFO 탑승 후고속 드리프트 좌회전 우회전 박더니안드로메다 도착완료내 만원 돌려주세요 감독님 ;"
"956","자백","1","아 보지 말걸... 안 보는 게 인생에 도움이 됩니다 연기자들은 너무 훌륭했음 저 영화 웬만하면 다 괜찮다고 생각하는데 이건... 아 그냥 할 말도 없음"
"957","20세기 소녀","10","김유정 배우 연기 진짜 대박이고 첫사랑 내용 이여서 보면서 내용이 살짝 예상갈 수 있지만그래도 반전있는 부분도 있으면서 너무 재밌어요 ㅠ 여운이 계속 남아요 색감도 엄청 이뻐요스토리 너무 좋아요"
"958","살인청부업자","6","남북미 대표얼짱들의 대잔치다들 잘생기긴 진짜 잘생겼네요"
"959","리멤버","10","볼 때마다 몰입하게 되는 영화보는 즐거움, 듣는 즐거움이 있다"
"960","낮에는 덥고 밤에는 춥고","10","전우치를 재밌게봤고 판타지 좋아하는 1인으로 괜찮은 영화임. 연기력 부시는 재밌는데 평점 왜이런지 진심 모르겠음. 2부 얼른 보고싶네요!"
"961","시카리오: 데이 오브 솔다도","10","평점테러다. 내가본 영화중에 오락영화로 손에 꼽을 정도로 재밌다."
"962","공조2: 인터내셔날","10","재밌다…! 2011년작이라니.. 역시 너무 많은 아까운 캐릭터들 마블드라마처럼 다 나오면 좋을텐데ㅜㅜ"
"963","옆집사람","10","배우들의 명품연기와 탄탄한 스토리에감탄할 수 밖에 없었습니다.84분 러닝타임이 마치 184분인것처럼느껴졌고 엔딩시크릿이 올라가는 순간 기립박수를 치고 있는 저를 발견했습니다.초반부에는 약간 지루할 수도 있으나 84분부터 숨막히는듯한 반전재미가 있으니 꼭 끝까지 보시는걸 추천드립니다☆"
"964","인생은 아름다워","6","잘 지내고 있니?"
"965","에브리씽 에브리웨어 올 앳 원스","10","제5원소(97년) vs 외계+인(22년)97년작 압승 ㅋ"
"966","자백","10","개소름 ㄷ ㄷ ㄷ ㄷ 오마이갓 ㄷ ㄷ ㄷ ㄷ"
"967","20세기 소녀","10","너무 재미있게 봤습니딘."
"968","살인청부업자","1","머리속을 비우고 보지않으면 버틸수가 없는영화"
"969","리멤버","1","머리속을 비우고 보지않으면 버틸수가 없는영화"
"970","낮에는 덥고 밤에는 춥고","1","머리속을 비우고 보지않으면 버틸수가 없는영화"
"971","시카리오: 데이 오브 솔다도","1","머리속을 비우고 보지않으면 버틸수가 없는영화"
"972","공조2: 인터내셔날","1","머리속을 비우고 보지않으면 버틸수가 없는영화"
"973","옆집사람","7","B급 감성.. 묘하게 재밌긴 했는데 추천하긴 어렵네요."
"974","인생은 아름다워","2","말도 안되는 반전에 반전.보는 내내 짜증남"
"975","에브리씽 에브리웨어 올 앳 원스","10","설레임을갖고 오랜만에 보는영화였어요"
"976","자백","6","아나키스트식 망상의 결정체"
"977","20세기 소녀","10","상당히 좋은 영화인 것 같은데 정작 나는 별 감흥이 없으니 이제는 진짜로 내가 죽을 때가 된 것 같다. 화요일에도 살아있다면 뭔가 다른게 느껴지려나 다시 한번 보고 싶네."
"978","살인청부업자","10","이정재 감독님의 첫 영화충분히 좋았습니다"
"979","리멤버","10","이 영화가 평점 5점대는 아닌데. 몰입도도 있고 나쁘지 않았음. 못해도 7.5는 나올 영화임."
"980","낮에는 덥고 밤에는 춥고","4","동성애 정당화를 위한 길고 긴 빌드업"
"981","시카리오: 데이 오브 솔다도","2","이건 장애인 비하야 말아톤과는 다르다"
"982","공조2: 인터내셔날","10",""
"983","옆집사람","10","이제야 본거야 나야??"
"984","인생은 아름다워","7","좀 답답하거나 유치한 구석도 있었지만 생각보다 볼만했음. 아쉬웠던 건 좀만 더 세련되고 디테일하게 다듬었으면 해리 포터의 아류작 정도로 더 호평받을 수 있었을 거 같은데 안타까움 그래도 킬링타임은 되는 영화였음."
"985","에브리씽 에브리웨어 올 앳 원스","10","너무 재밌고 확 와 닿아요"
"986","자백","9","마녀 이혜영과 라푼젤 권해효"
"987","20세기 소녀","10","진짜 재밌게 잘 봤습니다 시간 가는줄 몰랐네요"
"988","살인청부업자","10","억지로 감동적인 요소를 집어넣은게 아니라 정말 보는내내 단전에서 올라오는 감동이 어마어마 했다 그리고 감동도 감동인데 개인적으로 보면서 분노를 많이했다 '정말 친일파놈들이 이 시대에 많이 잊혀졌구나' 절대 잊지 말아야 합니다 우리나라 사람들 모두가 이 영화를 보았으면 좋겠습니다. 개인적으로 하루 빨리 광복절에 이 영화가 특선영화로 상영 되길 바랍니다 결이 다른 감동을 보여줍니다. 스토리 보는 내내 긴장감 있었고 시원시원한 액션입니다!!"
"989","리멤버","10","숨조차 편히 쉴 수 없다"
"990","낮에는 덥고 밤에는 춥고","10","의심하다가  진한 사랑의 감동을 느끼게 하는 반전이 놀랍네요"
"991","시카리오: 데이 오브 솔다도","9","1편 보다 못하다는 평이 많아서 오랫동안 안 봤는데, 괜찮은데요?!"
"992","공조2: 인터내셔날","1","거 존나 재미없네 OOO것들 진짜 ㅋㅋ처음에 뭔 북한이랑 미국이랑 범죄인도조약을 맺질 않나, 또 10분뒤에는 파술소 견찰이 잠복근무 방해하면서 되도 않는 개그를 치지 않나..도저히 볼 수가 없는 3류의 3류의 개 3류 영화네"
"993","옆집사람","6","나쁘지 않은 영화네요 킬링타임용으로 괜찮을듯"
"994","인생은 아름다워","9","초딩 중딩 아이들과 다같이 봤는데 모두 눈물 흘렸어요"
"995","에브리씽 에브리웨어 올 앳 원스","8","어이없는 혼란 속에서 터지는 눈물"
