"","vtitle","vpoint","vreview"
"98","살인청부업자","7","연기는 출중한데 약간 스토리가 지루하네요"
"99","리멤버","10","희노애락을 모두 느낄 수 있는 레전드 영화,,"
"100","낮에는 덥고 밤에는 춥고","10","진짜 돌아버리게뇨어여 너무재밌어요 원래 이런장르의 영화를 안보는데 어쩌다 접했는데 생각이 많아지고 흥미진진하면서도 재밌어요 추천작,.."
"101","시카리오: 데이 오브 솔다도","7","피도 눈물도 없는...무자비함...집요함...그들을 만난게(?) 우연이 아니였구나...악을 행하는 것과 방관하는 건...다르지만 큰 차이가 없긴 하지...몇몇 영화 속 상황이 답답...고구마...특히 주유소씬...=33"
"102","공조2: 인터내셔날","1","아직도 빨갱이 선동질 하네"
"103","옆집사람","10","순간을 이겨내는 힘은 나를 응원해주는 사람들 사랑, 부끄러움, 용기, 추억 울지 않을 수 없는 감동적이고 재미있는 영화"
"104","인생은 아름다워","1",""
"105","에브리씽 에브리웨어 올 앳 원스","10","최고의  톱5안에드는  외국영화이며    충격적반전은     지금도    잊히지않는다"
"106","자백","10","공감가는 장면, 추억의 물건과 그시절 패션,그리고 그시절에 했던 장난들...ㅋ새록새록하게 떠올라서 재밌었어요마지막에 운호의 사인이 무엇인지 안나와서 궁금해요ㅠ"
"107","20세기 소녀","8","걸작에 묻은 한 줌의 페미니즘"
"108","살인청부업자","2","진짜 주인공 개답답. 병형신"
"109","리멤버","4","혼돈을 표현하려 했으나 혼란하기만 하네"
"110","낮에는 덥고 밤에는 춥고","5","다소 물렁물렁한 전쟁터에서 수애만 꼿꼿히 서 있다."
"111","시카리오: 데이 오브 솔다도","10","제 인생 최고의 영화예요..,"
"112","공조2: 인터내셔날","8","이것은 자아도취 혹은 자기반성. TOP인 줄 알았더니 그저 자기가 쌓은 탑 속."
"113","옆집사람","10","저는 너무 재미있었는데평점이 너무 낮아서 아쉽네요2부가 무척이나 기대가 됩니다"
"114","인생은 아름다워","10","따뜻한 동화같은 이야기"
"115","에브리씽 에브리웨어 올 앳 원스","10","아이를 키워보니 아이는 너무너무 많이 엄마를 사랑해요 엄마인 내가 아이에게 더 사랑받고 있더라고요 아이에게 엄마는 세상의 전부입니다 아이들에게 잘 해줍시다 그리고 로봇 초기화 버튼만 만들었어도..감동파괴ㅎㅎ"
"116","자백","8","아 인비져블 게스트 리메이크 한거였구나ㅋ"
"117","20세기 소녀","10","남아공 최고의 영화 더이상 말이 필요 없음"
"118","살인청부업자","6","배드신 없이 이미연과 이태란으로 밀어붙인게 무리수"
"119","리멤버","10","해외여행가는 기내에서 봤는데 마지막에  눈물이 눈물이 .  눈벌겋게해서 화장실로 바로 뛰어가 콧물눈물 닦으며 울었던 영화."
"120","낮에는 덥고 밤에는 춥고","7","그럭저럭"
"121","시카리오: 데이 오브 솔다도","1","알바 푼거아니죠?15분 보다가 그냥 결말보고 껏음"
"122","공조2: 인터내셔날","8","원작보다 친절하게 설명하고 개연성도 잘 다듬었는데, 다만 왜 사족을 다셨나요? 원작처럼 거기서 임팩트 있게 등장하면서 끝났어야 해요."
"123","옆집사람","8","설렁설렁한 스토리 하지만 느낌 있는 액션!개인적으로 샤잠보단 좀더 진중해서 더 재미있었다."
"124","인생은 아름다워","8","이건 하나의 덩어리다. 마지막에는 건물이 거의 권해효씨를 뱉어내는 것 같았다."
"125","에브리씽 에브리웨어 올 앳 원스","10","박해일씨 연기너무좋았어요탕웨이씨의 대사하나하나 고풍스럽고 아름답네요"
"126","자백","10","요즘 군대는 모르겠지만 저 시절 실제 병영생활 분위기를 잘 표현했습니다. 영화라는게 놀라울 정도의 연출과 출연진의 열연이 돋보이는 영화입니다."
"127","20세기 소녀","1",""
"128","살인청부업자","7","사랑받지 못한 자들의 사랑하는 법"
"129","리멤버","10","재미있고 옛감성을 느낄수있어서 좋았어요~^^"
"130","낮에는 덥고 밤에는 춥고","9","블록버스터 영화의 정수이자 그 자체톰 크루즈라는 새로운 장르를 만들어줘야 되는건 아닌가 싶다"
"131","시카리오: 데이 오브 솔다도","2","신세계 감독이래서 기대했더니이게 뭐임"
"132","공조2: 인터내셔날","10","언제나..사랑은 상대가 잘 되길 바라는 것"
"133","옆집사람","10","힘든일이 생기고 나서 보니 이렇게 내 마음을 대변해주는 영화가 없는 듯....비참한 현실 속에서도 생겨나는 사랑과 가족애.... 너무나도 잘 만든 영화"
"134","인생은 아름다워","8","신파긴 한데 억지감동이라고는 못 느꼈는데... 학생들이 표정 연기를 너무 잘해"
"135","에브리씽 에브리웨어 올 앳 원스","10","내가 힘들때 힘이 되어주고 위로가 되어줬던 영화다. 나에게도 절대 용서할 수 없는 사람이 생겼는데 그는 가족이었기에 용서해야만 했다. 난 신에게 어떻게하면 그를 용서할 수 있는지 수없이 질문을 했지만 답이 없었다. 하지만 이 영화를 보고 나서 깨달았다. 그리고 이젠 그를 용서할 수 있었다."
"136","자백","6","와.. 반전인가요완전 두군두근 거리며 보고 있었는데마지막이 왜.."
"137","20세기 소녀","10","진짜 병맛인데 울고 있는 저를 발견했습니다..."
"138","살인청부업자","10","여운이 언제 꺼질까 싶음"
"139","리멤버","8","눈이 즐거운 영화!!"
"140","낮에는 덥고 밤에는 춥고","10","어떤 순간, 어느 곳에 있더라도, 모든 것이 헛될지라도"
